CD_CID,DS_CID
G058,Encefal Mielit Encefalomiel Outr Doenc
G06,Abscesso Granuloma Intracran Intra-Raqu
G060,Abscesso e Granuloma Intracranianos
G061,Abscesso e Granuloma Intra-Raquidianos
G062,Abscesso Extradural e Subdural Ne
G07,Abscess Granul Intracran Intraspin Doen
G09,Sequelas Doenc Inflam Sist Nerv Centr
G10,Doenc de Huntington
G11,Ataxia Hereditaria
G110,Ataxia Congen Nao-Progressiva
G111,Ataxia Cerebelar de Inicio Precoce
G112,Ataxia Cerebelar de Inicio Tard
G114,Paraplegia Espastica Hereditaria
G118,Outr Ataxias Hereditarias
G119,Ataxia Hereditaria Ne
G12,Atrofia Muscular Espinal e Sindr Correl
G120,Atrofia Muscular Espinal Infantil Tipo
G121,Outr Atrofias Musculares Espinais Hered
G122,Doenc do Neuronio Motor
G128,Outr Atrof Muscul Espinais Sindr Muscul
G129,Atrofia Muscular Espinal Ne
G130,Neuromiopatia e Neuropatia Paraneoplasi
G138,Atr Sist Q Afet Sist Nerv Centr Out Doe
G20,Doenc de Parkinson
G21,Parkinsonismo Secund
G211,Outr Form Parkinsonismo Secund Induz Dr
G218,Outr Form de Parkinsonismo Secund
G219,Parkinsonismo Secund Ne
G22,Parkinsonismo em Doenc Cop
G23,Outr Doenc Degenerativas dos Ganglios B
G231,Oftalmoplegia Supranuclear Progressiva
G238,Outr Doenc Degenerativas Espec Ganglios
G239,Doenc Degenerativa dos Ganglios da Base
G24,Distonia
G240,Distonia Induz p/Drogas
G242,Distonia Nao-Familiar Idiopatica
G244,Distonia Orofacial Idiopatica
G245,Blefaroespasmo
G248,Outr Distonias
G249,Distonia Ne
G25,Outr Doenc Extrapiramidais Transt Movim
G250,Tremor Essencial
G252,Outr Form Espec de Tremor
G253,Mioclonia
G254,Coreia Induz p/Droga
G255,Outr Form de Coreia
G258,Outr Doenc Extrapiramid Transt Movim Es
G259,Doenc Extrapiramidais Transt Movimentos
G26,Doenc Extrapiramidais Transt Movim Doen
G30,Doenc de Alzheimer
G300,Doenc de Alzheimer de Inicio Precoce
G301,Doenc de Alzheimer de Inicio Tard
G308,Outr Form de Doenc de Alzheimer
G309,Doenc de Alzheimer Ne
G31,Outr Doenc Degenerativas Sist Nervoso N
G310,Atrofia Cerebral Circunscrita
G312,Degeneracao do Sist Nervoso Dev Alcool
G318,Outr Doenc Degenerativas Espec Sist Ner
G319,Doenc Degenerativa do Sist Nervoso Ne
G32,Outr Transt Degenerativ Sist Nerv Doenc
G328,Outr Transt Degener Espec Sist Nerv Doe
G35,Esclerose Mult
G36,Outr Desmielinizacoes Disseminadas Agud
G360,Neuromielite Optica
G369,Desmielinizacao Disseminada Aguda Ne
G37,Outr Doenc Desmielinizantes Sist Nerv C
G370,Esclerose Difusa
G371,Desmielinizacao Central do Corpo Caloso
G372,Mielinolise Central da Ponte
G373,Mielit Trans Agud Doen Desmiel Sis Nerv
G378,Outr Doenc Desmiel Espec Sist Nerv Cent
G379,Doenc Desmielinizante Sist Nerv Central
G40,Epilepsia
G400,Epilep Sind Epil Idiop Def Loc Cris Ini
G401,Epilep Sind Epil Sint Def Loc Cris Parc
G402,Epilep Sind Epil Sint Def Loc Cris Parc
G403,Epilepsia e Sindr Epilepticas Gener Idi
G404,Outr Epilepsias e Sindr Epilepticas Gen
G405,Sindr Epilepticas Especiais
G406,Crise de Grande Mal Ne
G407,Pequeno Mal Ne s/Crises de Grande Mal
G408,Outr Epilepsias
G409,Epilepsia Ne
G410,Estado de Grande Mal Epileptico
G411,Estado de Pequeno Mal Epileptico
G418,Outr Estados de Mal Epileptico
G43,Enxaqueca
G430,Enxaqueca s/Aura
G431,Enxaqueca c/Aura
G432,Estado de Mal Enxaquecoso
G433,Enxaqueca Complicada
G438,Outr Form de Enxaqueca
G439,Enxaqueca s/Especificacao
G44,Outr Sindr de Algias Cefalicas
G440,Sindr de Cluster-Headache
G441,Cefaleia Vascular Ncop
G442,Cefaleia Tensional
G443,Cefaleia Cronica Pos-Traum
G448,Outr Sindr de Cefaleia Espec
G45,Acid Vasc Cerebr Isquemicos Trans Sindr
G450,Sindr da Arteria Vertebro-Basilar
G451,Sindr da Arteria Carotidea
G452,Sindr Arterias Pre-Cerebrais Mult Bilat
G453,Amaurose Fugaz
G454,Amnesia Global Transitoria
G458,Outr Acid Isquemicos Cerebr Trans Sindr
G459,Isquemia Cerebral Transitoria Ne
G46,Sindr Vasc Cerebr Q Ocorr Doenc Cerebro
G460,Sindr da Arteria Cerebral Media
G463,Sindr Vasculares do Tronco Cerebral
G464,Sindr Vascular Cerebelar
G468,Outr Sindr Vasc Cerebr Doenc Cerebrovas
G47,Disturbios do Sono
G470,Disturbios do Inicio e da Manutencao Do
G471,Disturbios do Sono p/Sonolencia Excessi
G472,Disturbios do Ciclo Vigilia-Sono
G473,Apneia de Sono
G474,Narcolepsia e Cataplexia
G479,Disturbio do Sono Ne
G50,Transt do Nervo Trigemeo
G500,Nevralgia do Trigemeo
G501,Dor Facial Atipica
G508,Outr Transt do Nervo Trigemeo
G509,Transt Ne do Nervo Trigemeo
G51,Transt do Nervo Facial
G510,Paralisia de Bell
G511,Ganglionite Geniculada
G513,Espasmo Hemifacial Clonico
G518,Outr Transt do Nervo Facial
G519,Transt Ne do Nervo Facial
G52,Transt de Outr Nervos Cranianos
G520,Transt do Nervo Olfatorio
G523,Transt do Nervo Hipoglosso
G528,Transt de Outr Nervos Cranianos Espec
G529,Transt de Nervo Craniano Ne
G53,Transt dos Nervos Cranianos em Doenc Co
G530,Nevralgia Pos-Zoster
G531,Paral Mult Nerv Cran Doen Infecc Parasi
G532,Paralisias Mult Nervos Cranianos Sarcoi
G533,Paralisias Mult Nerv Cran Doenc Neoplas
G538,Outr Transt Nervos Cranianos Outr Doenc
G54,Transt das Raizes e dos Plexos Nervosos
G540,Transt do Plexo Braquial
G541,Transt do Plexo Lombossacral
G542,Transt das Raizes Cervicais Ncop
G544,Transt das Raizes Lombossacras Ncop
G545,Amiotrofia Nevralgica
G546,Sindr Dolorosa do Membro Fantasma
G548,Outr Transt das Raizes e dos Plexos Ner
G549,Transt Ne das Raizes e dos Plexos Nervo
G55,Compressoes Raizes Plexos Nervosos Doen
G551,Compr Raiz Plexo Nerv Transt Disco Inte
G552,Compressoes Raizes Plexos Nerv Espondil
G553,Compressoes Raizes Plexos Nerv Outr Dor
G558,Compress Raizes Plexos Nerv Outr Doenc
G56,Mononeuropatias dos Membros Super
G560,Sindr do Tunel do Carpo
G561,Outr Lesoes do Nervo Mediano
G562,Lesoes do Nervo Cubital
G563,Lesao do Nervo Radial
G564,Causalgia
G568,Outr Mononeuropatias dos Membros Super
G569,Mononeuropatia dos Membros Super Ne
G57,Mononeuropatias dos Membros Infer
G570,Lesao do Nervo Ciatico
G571,Meralgia Parestesica
G572,Lesao do Nervo Femoral
G573,Lesao do Nervo Popliteo Lateral
G574,Lesao do Nervo Popliteo Medial
G575,Sindr do Tunel do Tarso
G576,Lesao do Nervo Plantar
G578,Outr Mononeuropatias dos Membros Infer
G579,Mononeuropatia dos Membros Infer Ne
G58,Outr Mononeuropatias
G580,Neuropatia Intercostal
G587,Mononeurite Mult
G588,Outr Mononeuropatias Espec
G589,Mononeuropatia Ne
G59,Mononeuropatias em Doenc Cop
G590,Mononeuropatia Diabetica
G598,Outr Mononeuropatias em Doenc Cop
G60,Neuropatia Hereditaria e Idiopatica
G600,Neuropatia Hereditaria Motora e Sensori
G603,Neuropatia Progressiva Idiopatica
G608,Outr Neuropatias Hereditarias e Idiopat
G609,Neuropatia Hereditaria e Idiopatica Ne
G61,Polineuropatia Inflam
G610,Sindr de Guillain-Barre
G611,Neuropatia Serica
G618,Outr Polineuropatias Inflam
G619,Polineuropatia Inflam Ne
G62,Outr Polineuropatias
G620,Polineuropatia Induz p/Drogas
G621,Polineuropatia Alcoolica
G622,Polineuropatia Dev Outr Agentes Toxicos
G628,Outr Polineuropatias Espec
G629,Polineuropatia Ne
G63,Polineuropatia em Doenc Cop
G630,Polineuropatia em Doenc Infecc e Parasi
G631,Polineuropatia em Doenc Neoplasicas
G632,Polineuropatia Diabetica
G633,Polineuropatia Outr Doenc Endocr Metabo
G636,Polineuropatia Outr Transt Osteomuscula
G638,Polineuropatia em Outr Doenc Cop
G64,Outr Transt do Sist Nervoso Periferico
G70,Miastenia Gravis Outr Transt Neuromuscu
G700,Miastenia Gravis
G709,Transt Mioneural Ne
G71,Transt Prim dos Musculos
G710,Distrofia Muscular
G711,Transt Miotonicos
G712,Miopatias Congen
G718,Outr Transt Prim dos Musculos
G72,Outr Miopatias
G720,Miopatia Induz p/Drogas
G723,Paralisia Periodica
G724,Miopatia Inflam Ncop
G728,Outr Miopatias Espec
G729,Miopatia Ne
G73,Transt Juncao Mioneural Musculos Doenc
G734,Miopatia em Doenc Infecc e Parasit Cop
G737,Miopatia em Outr Doenc Cop
G80,Paralisia Cerebral Infantil
G800,Paralisia Cerebral Espastica
G801,Diplegia Espastica
G802,Hemiplegia Infantil
G803,Paralisia Cerebral Discinetica
G804,Paralisia Cerebral Ataxica
G808,Outr Form de Paralisia Cerebral Infanti
G809,Paralisia Cerebral Infantil Ne
G81,Hemiplegia
G810,Hemiplegia Flacida
G811,Hemiplegia Espastica
G819,Hemiplegia Ne
G82,Paraplegia e Tetraplegia
G820,Paraplegia Flacida
G821,Paraplegia Espastica
G822,Paraplegia Ne
G823,Tetraplegia Flacida
G824,Tetraplegia Espastica
G825,Tetraplegia Ne
G83,Outr Sindr Paraliticas
G830,Diplegia dos Membros Super
G831,Monoplegia do Membro Infer
G832,Monoplegia do Membro Super
G833,Monoplegia Ne
G834,Sindr da Cauda Equina
G838,Outr Sindr Paraliticas Espec
G839,Sindr Paralitica Ne
G90,Transt do Sist Nervoso Autonomo
G900,Neuropatia Autonomica Periferica Idiopa
G903,Degeneracao Multissistemica
G908,Outr Transt do Sist Nervoso Autonomo
G909,Transt Ne do Sist Nervoso Autonomo
G91,Hidrocefalia
G910,Hidrocefalia Comunicante
G911,Hidrocefalia Obstrutiva
G912,Hidrocefalia de Pressao Normal
G913,Hidrocefalia Pos-Traum Ne
G918,Outr Form de Hidrocefalia
G919,Hidrocefalia Ne
G92,Encefalopatia Toxica
G922,{ñ class}
G93,Outr Transt do Encefalo
G930,Cistos Cerebrais
G931,Lesao Encefalica Anoxica Ncop
G932,Hipertensao Intracraniana Benigna
G933,Sindr da Fadiga Pos-Viral
G934,Encefalopatia Ne
G935,Compressao do Encefalo
G936,Edema Cerebral
G938,Outr Transt Espec do Encefalo
G939,Transt Ne do Encefalo
G948,Outr Transt Encefalicos Espec em Doenc
G95,Outr Doenc da Medula Espinal
G950,Siringomielia e Siringobulbia
G951,Mielopatias Vasculares
G952,Compressao Ne de Medula Espinal
G958,Outr Doenc Espec da Medula Espinal
G959,Doenc Ne da Medula Espinal
G96,Outr Transt do Sist Nervoso Central
G960,Fistula Liquorica
G969,Transt Ne do Sist Nervoso Central
G97,Transt Pos-Proced do Sist Nervoso Ncop
G971,Outr Reacao a Puncao Espinal e Lombar
G98,Outr Transt do Sist Nervoso Ncop
G99,Outr Transt do Sist Nervoso em Doenc Co
G991,Outr Transt Sist Nervoso Autonomo Doenc
G992,Mielopatia em Doenc Cop
H00,Hordeolo e Calazio
H001,Calazio
H02,Outr Transt da Palpebra
H020,Entropio e Triquiase da Palpebra
H021,Ectropio da Palpebra
H023,Blefarocalasia
H024,Ptose da Palpebra
H029,Transt Ne da Palpebra
H03,Transt da Palpebra em Doenc Cop
H04,Transt do Aparelho Lacrimal
H040,Dacrioadenite
H043,Inflam Aguda e Ne dos Canais Lacrimais
H044,Inflam Cronica dos Canais Lacrimais
H045,Estenose e Insuf dos Canais Lacrimais
H05,Transt da Orbita
H050,Inflam Aguda da Orbita
H051,Transt Inflam Cronicos da Orbita
H053,Deform da Orbita
H062,Exoftalmo Distireoideo
H10,Conjuntivite
H102,Outr Conjuntivites Agudas
H103,Conjuntivite Aguda Ne
H108,Outr Conjuntivites
H109,Conjuntivite Ne
H11,Outr Transt da Conjuntiva
H110,Pterigio
H111,Degeneracoes e Depositos da Conjuntiva
H112,Cicatrizes da Conjuntiva
H119,Transt Ne da Conjuntiva
H15,Transt da Esclerotica
H150,Esclerite
H158,Outr Transt da Esclerotica
H16,Ceratite
H160,Ulcera de Cornea
H161,Outr Ceratites Superf s/Conjuntivite
H162,Ceratoconjuntivite
H163,Ceratites Intersticial e Profunda
H168,Outr Ceratites
H169,Ceratite Ne
H17,Cicatrizes e Opacidades da Cornea
H170,Leucoma Aderente
H171,Outr Opacidade Central da Cornea
H178,Outr Cicatrizes e Opacidades da Cornea
H179,Cicatriz e Opacidade Ne da Cornea
H18,Outr Transt da Cornea
H180,Pigmentacoes e Depositos da Cornea
H181,Ceratopatia Bolhosa
H182,Outr Edemas da Cornea
H183,Alteracoes nas Membranas da Cornea
H184,Degeneracoes da Cornea
H185,Distrofias Hereditarias da Cornea
H186,Ceratocone
H187,Outr Deform da Cornea
H188,Outr Transt Espec da Cornea
H189,Transt Ne da Cornea
H191,Ceratite Ceratoconjunt Virus Herpes Sim
H192,Cerat Ceratoconj Outr Doenc Infec Paras
H198,Outr Transt de Esclerotica Cornea Doenc
H20,Iridociclite
H200,Iridociclite Aguda e Subaguda
H201,Iridociclite Cronica
H208,Outr Iridociclites
H209,Iridociclite Ne
H215,Outr Aderencias e Roturas Iris Corpo Ci
H218,Outr Transt Espec da Iris e do Corpo Ci
H22,Transt da Iris e do Corpo Ciliar Doenc
H221,Iridociclite em Outr Doenc Cop
H25,Catarata Senil
H250,Catarata Senil Incipiente
H251,Catarata Senil Nuclear
H252,Catarata Senil Tipo Morgagni
H258,Outr Cataratas Senis
H259,Catarata Senil Ne
H26,Outr Cataratas
H260,Catarata Infantil Juvenil e Pre-Senil
H261,Catarata Traum
H262,Catarata Complicada
H263,Catarata Induz p/Drogas
H264,Pos-Catarata
H268,Outr Cataratas Espec
H269,Catarata Ne
H27,Outr Transt do Cristalino
H270,Afacia
H271,Deslocamento do Cristalino
H278,Outr Transt Espec do Cristalino
H28,Catarata e Outr Transt Cristalino Doenc
H280,Catarata Diabetica
H282,Catarata em Outr Doenc Cop
H30,Inflam Coriorretiniana
H300,Inflam Coriorretiniana Focal
H301,Inflam Corrorretiniana Disseminada
H302,Ciclite Posterior
H308,Outr Inflam Coriorretinianas
H309,Inflam Ne da Coroide e da Retina
H31,Outr Transt da Coroide
H310,Cicatrizes Coriorretinianas
H311,Degeneracao da Coroide
H312,Distrofia Hereditaria da Coroide
H314,Descolamento da Coroide
H318,Outr Transt Espec da Coroide
H319,Transt Ne da Coroide
H32,Transt Coriorretinianos em Doenc Cop
H320,Inflam Coriorretin Doenc Infecc Parasit
H33,Descolamentos e Defeitos da Retina
H330,Descolamento da Retina c/Defeito Retini
H331,Retinosquise e Cistos da Retina
H332,Descolamento Seroso da Retina
H333,Defeitos da Retina s/Descolamento
H334,Descolamento da Retina p/Tracao
H335,Outr Descolamentos da Retina
H34,Oclusoes Vasculares da Retina
H340,Oclusao Arterial Retiniana Transitoria
H341,Oclusao da Arteria Retiniana Central
H348,Outr Oclusoes Vasculares Retinianas
H349,Oclusao Vascular Retiniana Ne
H35,Outr Transt da Retina
H350,Retinopatias de Fundo Alteracoes Vasc R
H351,Retinopatia da Prematuridade
H352,Outr Retinopatias Proliferativas
H353,Degeneracao da Macula e do Polo Posteri
H354,Degeneracoes Perifericas da Retina
H355,Distrofias Hereditarias da Retina
H356,Hemorragia Retiniana
H357,Separacao das Camadas da Retina
H358,Outr Transt Espec da Retina
H359,Transt da Retina Ne
H36,Transt da Retina em Doenc Cop
H360,Retinopatia Diabetica
H368,Outr Transt Retinianos em Doenc Cop
H40,Glaucoma
H400,Suspeita de Glaucoma
H401,Glaucoma Prim de Angulo Aberto
H402,Glaucoma Prim de Angulo Fechado
H403,Glaucoma Secund a Traum Ocular
H404,Glaucoma Secund a Inflam Ocular
H405,Glaucoma Secund a Outr Transt do Olho
H406,Glaucoma Secund a Drogas
H408,Outr Glaucoma
H409,Glaucoma Ne
H42,Glaucoma em Doenc Cop
H420,Glaucoma em Doenc Endocr Nutric e Metab
H43,Transt do Humor Vitreo
H430,Prolapso do Humor Vitreo
H431,Hemorragia do Humor Vitreo
H433,Outr Opacidades do Vitreo
H438,Outr Transt do Humor Vitreo
H44,Transt do Globo Ocular
H440,Endoftalmite Purulenta
H441,Outr Endoftalmites
H442,Miopia Degenerativa
H443,Outr Transt Degenerativos do Globo Ocul
H445,Afeccoes Degenerativas do Globo Ocular
H446,Corpo Estranho Retido Intra-Ocular Nat
H448,Outr Transt do Globo Ocular
H45,Transt Humor Vitreo e Globo Ocular Doen
H450,Hemorragia Vitrea em Doenc Cop
H451,Endoftalmite em Doenc Cop
H458,Outr Transt Humor Vitr Glob Ocular Doen
H46,Neurite Optica
H47,Outr Transt do Nervo Optico e Vias Opti
H470,Transt do Nervo Optico Ncop
H471,Papiledema Ne
H472,Atrofia Optica
H473,Outr Transt do Disco Optico
H48,Transt Nervo Optico e Vias Opticas Doen
H49,Estrabismo Paralitico
H490,Paralisia do Terceiro Par
H492,Paralisia do Sexto Par
H498,Outr Estrabismos Paraliticos
H50,Outr Estrabismos
H500,Estrabismo Convergente Concomitante
H501,Estrabismo Divergente Concomitante
H502,Estrabismo Vertical
H503,Heterotropia Intermitente
H504,Outr Heterotropias e as Ne
H509,Estrabismo Ne
H511,Insuf ou Excesso de Convergencia
H52,Transt da Refracao e da Acomodacao
H520,Hipermetropia
H521,Miopia
H522,Astigmatismo
H523,Anisometropia e Aniseiconia
H524,Presbiopia
H527,Transt Ne da Refracao
H53,Disturbios Visuais
H530,Ambliopia p/Anopsia
H531,Disturbios Visuais Subjetivos
H532,Diplopia
H533,Outr Transt da Visao Binocular
H534,Defeitos do Campo Visual
H535,Defic da Visao Cromatica
H539,Disturbio Visual Ne
H54,Cegueira e Visao Subnormal
H540,Cegueira Ambos Os Olhos
H541,Cegueira Um Olho e Visao Subnormal em O
H542,Visao Subnormal de Ambos Os Olhos
H543,Perda nao Qualificada da Visao Ambos Ol
H544,Cegueira em Um Olho
H545,Visao Subnormal em Um Olho
H546,Perda nao Qualificada da Visao em Um Ol
H547,Perda Ne da Visao
H55,Nistagmo e Outr Movimentos Irregulares
H57,Outr Transt do Olho e Anexos
H570,Anomalias da Funcao Pupilar
H571,Dor Ocular
H578,Outr Transt Espec do Olho e Anexos
H579,Transt Ne do Olho e Anexos
H588,Outr Transt Espec do Olho e Anexos Doen
H59,Transt do Olho e Anexos Pos-Proced Ncop
H590,Sindr Vitrea Subseq a Cirurgia de Catar
H598,Outr Transt do Olho e Anexos Pos-Proced
H599,Transt Ne do Olho e Anexos Pos-Proced
H60,Otite Externa
H600,Abscesso do Ouvido Externo
H603,Outr Otites Externas Infecc
H604,Colesteatoma do Ouvido Externo
H610,Pericondrite do Pavilhao da Orelha
H612,Cerume Impactado
H62,Transt do Ouvido Externo em Doenc Cop
H65,Otite Media Nao-Supurativa
H650,Otite Media Aguda Serosa
H651,Outr Otites Medias Agudas Nao-Supurativ
H652,Otite Media Serosa Cronica
H653,Otite Media Mucoide Cronica
H654,Outr Otites Medias Cronicas Nao-Supurat
H659,Otite Media Nao-Supurativa Ne
H66,Otite Media Supurativa e as Ne
H660,Otite Media Aguda Supurativa
H662,Otite Media Atico-Antral Supurativa Cro
H663,Outr Otites Medias Supurativas Cronicas
H68,Salpingite e Obstrucao Trompa de Eustaq
H680,Salpingite da Trompa de Eustaquio
H681,Obstrucao da Trompa de Eustaquio
H70,Mastoidite e Afeccoes Correlatas
H700,Mastoidite Aguda
H701,Mastoidite Cronica
H71,Colesteatoma do Ouvido Medio
H72,Perfuracao da Membrana do Timpano
H720,Perfuracao Central da Membrana do Timpa
H721,Perfuracao Atica da Membrana do Timpano
H722,Outr Perfuracoes Marginais Membrana Tim
H728,Outr Perfuracoes da Membrana do Timpano
H729,Perfuracao Ne da Membrana do Timpano
H73,Outr Transt da Membrana do Timpano
H748,Outr Transt Espec do Ouvido Medio e Mas
H80,Otosclerose
H800,Otosclerose Q Comprom Janela Oval Nao-O
H801,Otosclerose Q Comprom Janela Oval Oblit
H802,Otosclerose da Coclea
H808,Outr Otoscleroses
H809,Otosclerose Ne
H81,Transt da Funcao Vestibular
H810,Doenc de Meniere
H811,Vertigem Paroxistica Benigna
H812,Neuronite Vestibular
H813,Outr Vertigens Perifericas
H814,Vertigem Orig Central
H818,Outr Transt da Funcao Vestibular
H819,Transt Ne da Funcao Vestibular
H82,Sindr Vertiginosas em Doenc Cop
H83,Outr Transt do Ouvido Interno
H830,Labirintite
H831,Fistula do Labirinto
H832,Disfuncao do Labirinto
H90,Perda Audicao Transt Conducao Neuro-Sen
H900,Perda Audicao Bilateral Dev Transt Cond
H901,Perda Aud Unilat Trans Cond s/Rest Aud
H902,Perda Ne de Audicao Dev Transt de Condu
H903,Perda de Audicao Bilateral Neuro-Sensor
H904,Perda Aud Unilat Neuro-Sens s/Rest Aud
H905,Perda de Audicao Neuro-Sensorial Ne
H906,Perda Audic Bilat Mista Conducao Neuro
H907,Perd Aud Uni Mist Cond Neur s/Rest Aud
H908,Perda Audicao Mista Conducao e Neuro-Se
H91,Outr Perdas de Audicao
H910,Perda de Audicao Ototoxica
H911,Presbiacusia
H912,Perda de Audicao Subita Idiopatica
H913,Surdo-Mudez Ncop
H918,Outr Perdas de Audicao Espec
H919,Perda Ne de Audicao
H92,Otalgia e Secrecao Auditiva
H920,Otalgia
H921,Otorreia
H922,Otorragia
H93,Outr Transt do Ouvido Ncop
H931,Tinnitus
H932,Outr Percepcoes Auditivas Anormais
H933,Transt do Nervo Acustico
H95,Transt Ouvido Apof Mastoide Pos-Proced
H951,Outr Transt Consequentes a Mastoidectom
I01,Febre Reumatica c/Compr do Coracao
I019,Doenc Cardiaca Reumatica Aguda Ne
I02,Coreia Reumatica
I05,Doenc Reumaticas da Valva Mitral
I050,Estenose Mitral
I051,Insuf Mitral Reumatica
I052,Estenose Mitral c/Insuf
I058,Outr Doenc da Valva Mitral
I059,Doenc Ne da Valva Mitral
I06,Doenc Reumaticas da Valva Aortica
I060,Estenose Aortica Reumatica
I061,Insuf Aortica Reumatica
I062,Estenose Aortica Reumatica c/Insuf
I068,Outr Doenc Reumaticas da Valva Aortica
I069,Doenc Reumatica da Valva Aortica Ne
I070,Estenose Tricuspide
I071,Insuf Tricuspide
I072,Estenose Tricuspide c/Insuf
I08,Doenc de Mult Valvas
I080,Transt de Valvas Mitral e Aortica
I081,Transt de Ambas as Valvas Mitral Tricus
I082,Transt de Ambas as Valvas Aortica Tricu
I083,Transt das Valvas Mitral Aortica Tricus
I088,Outr Doenc de Mult Valvas
I089,Doenc Ne de Mult Valvas
I09,Outr Doenc Reumaticas do Coracao
I099,Doenc Cardiaca Reumatica Ne
I10,Hipertensao Essencial
I11,Doenc Cardiaca Hipertensiva
I110,Doenc Cardiaca Hipertensiva c/Insuf Car
I119,Doenc Cardiaca Hipertensiva s/Insuf Car
I12,Doenc Renal Hipertensiva
I120,Doenc Renal Hipertensiva c/Insuf Renal
I129,Doenc Renal Hipertensiva s/Insuf Renal
I13,Doenc Cardiaca e Renal Hipertensiva
I130,Doenc Cardiaca e Renal Hipert c/Insufic
I131,Doenc Cardiaca e Renal Hipert c/Insuf R
I132,Doenc Card Renal Hipert c/Insuf Card E
I15,Hipertensao Secund
I150,Hipertensao Renovascular
I151,Hipertensao Secund a Outr Afeccoes Rena
I158,Outr Form de Hipertensao Secund
I159,Hipertensao Secund Ne
I20,Angina Pectoris
I200,Angina Instavel
I201,Angina Pectoris c/Espasmo Documentado
I208,Outr Form de Angina Pectoris
I209,Angina Pectoris Ne
I21,Infarto Agudo do Miocardio
I210,Infarto Agudo Transmural Parede Ant Mio
I211,Infarto Agudo Transmural Parede Inf Mio
I212,Infarto Agudo Transmural Miocardio Outr
I213,Infarto Agudo Transmural Miocardio Loc
I214,Infarto Agudo Subendocardico do Miocard
I219,Infarto Agudo do Miocardio Ne
I22,Infarto do Miocardio Recorrente
I220,Infarto do Miocardio Recorrente Parede
I221,Infarto do Miocardio Recorrente Parede
I229,Infarto do Miocardio Recorrente Localiz
I23,Alg Complic Atuais Subs Infarto Agud Mi
I232,com Interven c/Comp Atual Subs Inf Agud
I238,Outr Complic Atuais Subs Infart Agud Mi
I24,Outr Doenc Isquemicas Agudas do Coracao
I240,Tromb Coronaria Q N Result Infarto Mioc
I248,Outr Form Doenc Isquemica Aguda do Cora
I249,Doenc Isquemica Aguda do Coracao Ne
I25,Doenc Isquemica Cronica do Coracao
I250,Doenc Cardiovasc Ateroscler Descr Deste
I251,Doenc Aterosclerotica do Coracao
I252,Infarto Antigo do Miocardio
I253,Aneurisma Cardiaco
I254,Aneurisma de Arteria Coronaria
I255,Miocardiopatia Isquemica
I256,Isquemia Miocardica Silenciosa
I258,Outr Form de Doenc Isquemica Cronica Co
I259,Doenc Isquemica Cronica do Coracao Ne
I26,Embolia Pulmonar
I260,Embolia Pulmonar c/Menc Cor Pulmonale A
I269,Embolia Pulmonar s/Menc Cor Pulmonale A
I27,Outr Form de Doenc Cardiaca Pulmonar
I270,Hipertensao Pulmonar Prim
I272,{ñ class}
I278,Outr Doenc Pulmonares do Coracao Espec
I279,Cardiopatia Pulmonar Ne
I28,Outr Doenc dos Vasos Pulmonares
I281,Aneurisma da Arteria Pulmonar
I30,Pericardite Aguda
I300,Pericardite Aguda Idiopatica nao Especi
I308,Outr Form de Pericardite Aguda
I309,Pericardite Aguda Ne
I31,Outr Doenc do Pericardio
I311,Pericardite Constritiva Cronica
I313,Derrame Pericardico
I318,Outr Doenc Espec do Pericardio
I319,Doenc Ne do Pericardio
I32,Pericardite em Doenc Cop
I33,Endocardite Aguda e Subaguda
I330,Endocardite Infecc Aguda e Subaguda
I339,Endocardite Aguda Ne
I34,Transt Nao-Reumaticos da Valva Mitral
I340,Insuf Mitral
I341,Prolapso Mitral
I342,Estenose Mitral Nao-Reumatica
I348,Outr Transt Nao-Reumaticos da Valva Mit
I349,Transt Nao-Reumaticos da Valva Mitral N
I35,Transt Nao-Reumaticos da Valva Aortica
I350,Estenose Aortica
I351,Insuf Aortica
I352,Estenose Aortica c/Insuf
I358,Outr Transt da Valva Aortica
I359,Transt Ne da Valva Aortica
I36,Transt Nao-Reumaticos da Valva Tricuspi
I361,Insuf Tricuspide Nao-Reumatica
I37,Transt da Valva Pulmonar
I370,Estenose da Valva Pulmonar
I371,Insuf da Valva Pulmonar
I38,Endocardite de Valva Ne
I39,Endocardite Transt Valvulares Card Doen
I390,Transt da Valva Mitral em Doenc Cop
I391,Transt da Valva Aortica em Doenc Cop
I394,Transt de Mult Valvas em Doenc Cop
I398,Endocardite de Valva Ne em Doenc Cop
I40,Miocardite Aguda
I400,Miocardite Infecc
I401,Miocardite Isolada
I408,Outr Miocardites Agudas
I409,Miocardite Aguda Ne
I41,Miocardite em Doenc Cop
I411,Miocardite em Doenc Virais Cop
I412,Miocardite Outr Doenc Infecc e Parasit
I42,Cardiomiopatias
I420,Cardiomiopatia Dilatada
I421,Cardiomiopatia Obstrutiva Hipertrofica
I422,Outr Cardiomiopatias Hipertroficas
I423,Doenc Endomiocardica
I426,Cardiomiopatia Alcoolica
I427,Cardiomiopatia Dev Drogas e Outr Agente
I428,Outr Cardiomiopatias
I429,Cardiomiopatia Ne
I43,Cardiomiopatia em Doenc Cop
I44,Bloqueio Atrioventricular e do Ramo Esq
I440,Bloqueio Atrioventricular de 1.Grau
I441,Bloqueio Atrioventricular de 2.Grau
I442,Bloqueio Atrioventricular Total
I443,Outr Form de Bloqueio Atrioventricular
